,post_id,text,post_text,shared_text,time,image,likes,comments,shares,post_url,link
0,,"Big Data and the Internet of Things don’t make business smarter, Analytics and Data Science do.
Big Data does not convert data into actionable information. Big Data does not create value. But Data Science does, and it does not have to be complex or expensive, or even big.
(Michael O’Connell)
""The best way to learn data science is to apply data science""
Datasets Sources:
https://toolbox.google.com/datasetsearch
KD Nuggets: http://www.kdnuggets.com/datasets/index.html
UCI: https://archive.ics.uci.edu/ml/index.php
Facebook: https://bigdataenthusiast.wordpress.com/…/mining-facebook-…/
https://www.analyticsvidhya.com/…/25-websites-to-find-dat…/…
http://www.unb.ca/cic/datasets/index.html
Ten…
UNB.CA
Datasets | Research | Canadian Institute for Cybersecurity | UNB","Big Data and the Internet of Things don’t make business smarter, Analytics and Data Science do.
Big Data does not convert data into actionable information. Big Data does not create value. But Data Science does, and it does not have to be complex or expensive, or even big.
(Michael O’Connell)
""The best way to learn data science is to apply data science""
Datasets Sources:
https://toolbox.google.com/datasetsearch
KD Nuggets: http://www.kdnuggets.com/datasets/index.html
UCI: https://archive.ics.uci.edu/ml/index.php
Facebook: https://bigdataenthusiast.wordpress.com/…/mining-facebook-…/
https://www.analyticsvidhya.com/…/25-websites-to-find-dat…/…
http://www.unb.ca/cic/datasets/index.html
Ten…","UNB.CA
Datasets | Research | Canadian Institute for Cybersecurity | UNB",2017-01-14 08:02:25,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQCsAPPbC1vxEwBA&w=65&h=65&url=http%3A%2F%2Fwww.unb.ca%2Fwebcomps%2F_css%2Funb_logo_140.png&cfs=1&jq=75&ext=jpg&_nc_hash=AQDuht4kr8d6-WAW,729,7,139,https://m.facebook.com/story.php?story_fbid=442290009531359&id=315272545240115,https://toolbox.google.com/datasetsearch
1,2632493123518034,"What is Simple Linear Regression.
Article Link :-
CODEPERFECTPLUS.HEROKUAPP.COM
A Blog For Data Science Portfolio Project Devloped With Django.","What is Simple Linear Regression.
Article Link :-","CODEPERFECTPLUS.HEROKUAPP.COM
A Blog For Data Science Portfolio Project Devloped With Django.",2020-06-24 12:19:40,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQBIiga3VtCN0VHX&w=476&h=249&url=https%3A%2F%2Fimages.pexels.com%2Fphotos%2F595804%2Fpexels-photo-595804.jpeg%3Fauto%3Dcompress%26cs%3Dtinysrgb%26dpr%3D2%26h%3D650%26w%3D940&cfs=1&jq=75&ext=jpg&_nc_hash=AQCDXKkcGG7LfxV3,0,0,0,https://m.facebook.com/story.php?story_fbid=869251523569292&id=315272545240115,http://codeperfectplus.herokuapp.com/8/
2,2632314456869234,"Outlier. I am sure most people who learn about Data Science or statistics know about it. Wikipedia defines an outlier as extreme data or data that differ significantly.
I often ask people 'What do you think about outlier?' and 'What should you do with outlier?'. Many answered that outlier is distracting and need to be removed.
In truth, the outlier is as interesting as any other data. What you do with the outlier of course depends on what context your question is. Nevertheless, the outlier is as important as any other data. For that case, I try to create a post to tell outlier importance.
Happy Reading!
#data #datascience #datascientist #dataanalyst #dataanalysis #cornelly
TOWARDSDATASCIENCE.COM
Outlier — Why is it important?","Outlier. I am sure most people who learn about Data Science or statistics know about it. Wikipedia defines an outlier as extreme data or data that differ significantly.
I often ask people 'What do you think about outlier?' and 'What should you do with outlier?'. Many answered that outlier is distracting and need to be removed.
In truth, the outlier is as interesting as any other data. What you do with the outlier of course depends on what context your question is. Nevertheless, the outlier is as important as any other data. For that case, I try to create a post to tell outlier importance.
Happy Reading!
#data #datascience #datascientist #dataanalyst #dataanalysis #cornelly","TOWARDSDATASCIENCE.COM
Outlier — Why is it important?",2020-06-24 10:24:31,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQAfxwRDJm5rwaLm&w=476&h=249&url=https%3A%2F%2Fmiro.medium.com%2Fmax%2F1200%2F0%2AHrXPHPF9TQxyM-4z&cfs=1&jq=75&ext=jpg&_nc_hash=AQCOBAod49d4xbcK,1,0,0,https://m.facebook.com/story.php?story_fbid=3200005916729284&id=315272545240115,https://towardsdatascience.com/outlier-why-is-it-important-af58adbefecc?source=friends_link&sk=59ad56e1dd76c7a0bdae986426975367
3,2630565307044149,"Is there any website / video lectures where i can learn Machine learning /deep learning project with step by step solution,, from beginner level?","Is there any website / video lectures where i can learn Machine learning /deep learning project with step by step solution,, from beginner level?",,2020-06-23 18:15:25,,12,12,0,,
4,2632527280181285,"Overfitting is a prevalent and nuanced problem in the field of data science. In this post, the problem of overfitting is explained in detail. The post also discusses the causes of overfitting, it's consequences, bias-variance tradeoff and the ways to minimize the effect of overfitting. Check out.
#datascience #MachineLearning #overfitting

RAVEDATA.IN
The Overfitting Problem - RaveData","Overfitting is a prevalent and nuanced problem in the field of data science. In this post, the problem of overfitting is explained in detail. The post also discusses the causes of overfitting, it's consequences, bias-variance tradeoff and the ways to minimize the effect of overfitting. Check out.
#datascience #MachineLearning #overfitting
","RAVEDATA.IN
The Overfitting Problem - RaveData",2020-06-24 12:43:05,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQCROZNQylJBKoDD&w=476&h=249&url=https%3A%2F%2Fi2.wp.com%2Fravedata.in%2Fwp-content%2Fuploads%2F2020%2F06%2Fbias-variance2.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQBQ24ewqRTzgk9O,3,0,0,https://m.facebook.com/story.php?story_fbid=1345266599001503&id=315272545240115,https://ravedata.in/machine-learning/the-overfitting-problem/
5,2632731700160843,"Telecom Customer Churn Prediction in Apache Spark (ML) DISCOUNT coupon
#ApacheSpark #BigData #DataScience #Analytics #Statistics #PredictiveModeling #MachineLearning #hadoop #DataScientist

UDEMY.COM
Telecom Customer Churn Prediction in Apache Spark (ML)","Telecom Customer Churn Prediction in Apache Spark (ML) DISCOUNT coupon
#ApacheSpark #BigData #DataScience #Analytics #Statistics #PredictiveModeling #MachineLearning #hadoop #DataScientist
","UDEMY.COM
Telecom Customer Churn Prediction in Apache Spark (ML)",2020-06-24 14:52:50,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQBOvLMIj4HEvkhV&w=476&h=249&url=https%3A%2F%2Fimg-a.udemycdn.com%2Fcourse%2F480x270%2F2459992_8c0c_2.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQCyH1cc2uKR-eXG,2,0,0,https://m.facebook.com/story.php?story_fbid=10223276251234505&id=315272545240115,https://www.udemy.com/course/telecom-customer-churn-prediction-in-apache-spark-ml/?couponCode=JUNE2020
6,2632817003485646,"Hi Guys,
As we all know that Data Science is getting popular day by day. And Data Science offers a high salary compared to other fields. That's why most people want to learn Data Science. But many of them can't find the best resource for learning.
Online Courses are great way to learn Data Science. Online Courses give you Ability to learn at your own time. You can watch the same video many times until the topic will be cleared.
I hope this article will help you to find the best Data Science Course for you.
Read this article here-https://www.mltut.com/best-online-courses-for-data-science-to-become-a-skilled-data-scientist/
All the Best!
Enjoy Learning!
MLTUT.COM
Best Online Courses for Data Science to become A Skilled Data Scientist","Hi Guys,
As we all know that Data Science is getting popular day by day. And Data Science offers a high salary compared to other fields. That's why most people want to learn Data Science. But many of them can't find the best resource for learning.
Online Courses are great way to learn Data Science. Online Courses give you Ability to learn at your own time. You can watch the same video many times until the topic will be cleared.
I hope this article will help you to find the best Data Science Course for you.
Read this article here-https://www.mltut.com/best-online-courses-for-data-science-to-become-a-skilled-data-scientist/
All the Best!
Enjoy Learning!","MLTUT.COM
Best Online Courses for Data Science to become A Skilled Data Scientist",2020-06-24 15:45:33,https://external.fbom26-1.fna.fbcdn.net/safe_image.php?d=AQDNcim0gNszkfSC&w=476&h=249&url=https%3A%2F%2Fwww.mltut.com%2Fwp-content%2Fuploads%2F2020%2F06%2FBest-Online-Courses-for-Data-Science-e1591437454555.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQB-NXaXece7gE3F,1,0,0,https://m.facebook.com/story.php?story_fbid=150579536566504&id=315272545240115,https://www.mltut.com/best-online-courses-for-data-science-to-become-a-skilled-data-scientist/
7,2625952454172101,Which one is the best platform for data science articles?,Which one is the best platform for data science articles?,,2020-06-21 19:42:05,,12,14,0,,
8,2632219763545370,"Hello!
I am trading a CNN and I get the following loss plot and I am not sure about how it should be interpreted. The the loss on the training set has a correct shape, however the one on the validation fluctuates much more. Is it normal or could it be a sign of something done wrong?","Hello!
I am trading a CNN and I get the following loss plot and I am not sure about how it should be interpreted. The the loss on the training set has a correct shape, however the one on the validation fluctuates much more. Is it normal or could it be a sign of something done wrong?",,2020-06-24 09:23:26,https://scontent.fbom26-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/s320x320/105478048_2904945219604535_984813769432859049_o.jpg?_nc_cat=109&_nc_sid=ca434c&_nc_ohc=gcgVts6SfX8AX9KKi9Q&_nc_ht=scontent.fbom26-1.fna&_nc_tp=9&oh=8fa72e15344004278e4182cd1265276e&oe=5F16EC08,10,9,0,,
9,2631314146969265,guys what do you say about this multiple linear regression analysis???????,guys what do you say about this multiple linear regression analysis???????,,2020-06-24 00:40:53,https://scontent.fbom26-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p240x240/105291869_158154345766897_5931293971982077622_o.jpg?_nc_cat=107&_nc_sid=ca434c&_nc_ohc=1U9c7I4q-0wAX85jOTz&_nc_ht=scontent.fbom26-1.fna&_nc_tp=3&oh=f6d330208123ace02177083576f62629&oe=5F17B22E,16,16,0,,
